,from,to,channel,portnum,id,rx_time,rx_snr,rx_rssi,hop_start,latitude_i,longitude_i,time,location_source,altitude_hae,PDOP,ground_speed,ground_track,sats_in_view,precision_bits,want_response,hop_limit,long_name,short_name,macaddr,hw_model,request_id,public_key,role,priority,want_ack,route,snr_towards,is_licensed,battery_level,voltage,channel_utilization,air_util_tx,uptime_seconds,temperature,relative_humidity,barometric_pressure,altitude,error_reason
0,3190751833,474579996,8,POSITION_APP,1960194706,2025-01-19 17:46:40,-10.0,-98.0,3,37.7389056,-122.4245248,2025-01-19 17:48:48,LOC_INTERNAL,,267,1.0,0.0,7.0,16,,1,,,,,3041742618,,,,,,,,,,,,,,,,33.0,
1,474581420,474579996,8,POSITION_APP,12178595,2025-01-19 19:03:28,11.5,-49.0,2,37.7624786,-122.4184703,2025-01-19 19:03:28,LOC_INTERNAL,,423,1.0,16775000.0,3.0,32,,2,,,,,785230938,,,,,,,,,,,,,,,,54.0,
2,1127917784,474579996,8,POSITION_APP,3280329922,2025-01-19 19:03:28,10.75,-73.0,2,37.7749504,-122.3950336,2025-01-19 19:03:28,LOC_MANUAL,,,0.0,0.0,,13,,2,,,,,785230938,,,,,,,,,,,,,,,,24.0,
3,474579996,4294967295,8,TELEMETRY_APP,1469315163,2025-01-19 19:03:28,,,3,,,2025-01-19 19:03:28,,,,,,,,,3,,,,,,,,BACKGROUND,,,,,,,,,,14.2,54.271484,1025.5157,,
4,474579996,4294967295,8,POSITION_APP,785230938,2025-01-19 19:03:28,,,3,37.7622413,-122.4171481,2025-01-19 19:03:28,LOC_INTERNAL,-14.0,406,8.0,10088000.0,4.0,32,true,3,,,,,,,,BACKGROUND,,,,,,,,,,,,,,
5,474579996,4294967295,8,POSITION_APP,2833544812,2025-01-19 19:03:28,,,3,37.7623656,-122.418201,2025-01-19 19:03:28,LOC_INTERNAL,1.0,406,1.0,9711000.0,4.0,32,true,3,,,,,,,,BACKGROUND,,,,,,,,,,,,,,
6,474581420,474579996,8,POSITION_APP,4102878368,2025-01-19 19:03:28,13.25,-49.0,2,37.7624555,-122.4185702,2025-01-19 19:03:28,LOC_EXTERNAL,,,0.0,249.0,,32,,2,,,,,2833544812,,,,,,,,,,,,,,,,14.0,
7,474579996,4294967295,8,TELEMETRY_APP,1744907885,2025-01-19 19:03:28,,,3,,,2025-01-19 19:03:28,,,,,,,,,3,,,,,,,,BACKGROUND,,,,,,,,,,14.13,54.683594,1025.5184,,
8,1226146290,474579996,8,POSITION_APP,1065276703,2025-01-19 19:03:28,,,2,38.0502016,-122.1459968,2025-01-19 19:03:28,LOC_EXTERNAL,,,,,12.0,14,,2,,,,,2833544812,,,RELIABLE,,,,,,,,,,,,,41.0,
9,1127917784,474579996,8,POSITION_APP,852954303,2025-01-19 19:03:28,10.75,-64.0,2,37.7749504,-122.3950336,2025-01-19 19:03:28,LOC_MANUAL,,,0.0,0.0,,13,,2,,,,,2833544812,,,,,,,,,,,,,,,,24.0,
10,474579996,4294967295,8,POSITION_APP,1384373375,2025-01-19 19:26:56,,,3,37.7624016,-122.418507,2025-01-19 19:26:56,LOC_INTERNAL,-30.0,413,2.0,29939000.0,4.0,32,,3,,,,,,,,BACKGROUND,,,,,,,,,,,,,,
11,474579996,4294967295,8,POSITION_APP,65111173,2025-01-19 19:29:04,,,3,37.7624528,-122.4186125,2025-01-19 19:29:04,LOC_INTERNAL,-20.0,414,1.0,29939000.0,4.0,32,,3,,,,,,,,BACKGROUND,,,,,,,,,,,,,,
12,474579996,4294967295,8,POSITION_APP,3982531718,2025-01-19 19:29:04,,,3,37.7624805,-122.4184608,2025-01-19 19:29:04,LOC_INTERNAL,0.0,414,10.0,8391000.0,4.0,32,,3,,,,,,,,BACKGROUND,,,,,,,,,,,,,,
13,474579996,4294967295,8,POSITION_APP,4021278857,2025-01-19 19:33:20,,,3,37.7622891,-122.4183426,2025-01-19 19:33:20,LOC_INTERNAL,12.0,417,2.0,8391000.0,4.0,32,,3,,,,,,,,BACKGROUND,,,,,,,,,,,,,,
14,474579996,4294967295,8,POSITION_APP,1315479694,2025-01-19 19:35:28,,,3,37.7624011,-122.4184611,2025-01-19 19:35:28,LOC_INTERNAL,-2.0,418,6.0,5538000.0,4.0,32,,3,,,,,,,,BACKGROUND,,,,,,,,,,,,,,
15,1127917784,474579996,8,POSITION_APP,3503530208,2025-01-19 19:37:36,10.75,-58.0,2,37.7749504,-122.3950336,2025-01-19 19:37:36,LOC_MANUAL,,,0.0,0.0,,13,,1,,,,,1872496196,,,,,,,,,,,,,,,,24.0,
